Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
41,drone_0,11.8553,11.7220,17.0000,17.0000,"16.759,2.004,1.244;13.939,12.661,1.294;3.575,7.130,1.299;10.143,15.337,0.317;16.824,2.679,0.765;1.123,0.958,0.473;19.607,2.952,0.318;0.656,18.938,0.838;1.707,6.453,0.439;0.249,17.937,0.293;5.577,17.319,0.393;6.288,0.668,0.273;9.180,0.809,0.285;15.903,12.247,1.726;1.277,2.791,0.446;14.484,6.710,0.457;18.727,3.440,0.791;19.232,15.734,0.373;11.478,14.535,0.201;16.407,1.318,1.100;16.630,4.309,0.492;17.559,11.293,0.339;8.032,16.433,0.425;19.776,3.366,0.363;11.776,2.909,0.310;15.336,3.064,1.970;5.144,7.889,0.300;11.609,13.675,0.443;1.686,6.481,1.261;13.539,15.061,0.861;4.768,5.563,0.451;10.002,15.302,0.467;13.509,7.881,1.869;10.609,18.217,0.439;7.191,11.942,0.787;6.786,16.005,0.264;5.789,13.176,1.360;6.503,15.102,0.471;2.594,9.156,0.496;18.836,3.946,1.221;16.470,9.739,0.214;18.808,10.788,2.082;18.692,2.022,0.350;16.016,5.387,0.244;18.317,14.195,0.258;5.588,1.183,0.258;0.953,7.011,0.964;18.166,14.973,0.231;0.490,5.336,0.317;16.806,8.423,0.782;13.054,12.403,0.496;0.765,5.166,1.169;17.289,4.153,2.471;18.711,2.475,2.092;2.084,0.422,0.708;14.439,1.078,1.194;12.940,15.856,1.184;17.381,9.014,0.641;5.552,14.851,0.441;18.915,13.283,0.293;18.131,1.066,1.173;15.753,10.740,0.646;13.961,4.443,1.793;15.656,10.022,1.154;12.035,18.816,0.206;11.994,1.962,0.780;0.749,2.327,0.394;1.310,14.514,0.500;12.781,19.238,0.203;16.971,8.324,1.376;14.374,14.858,0.456;0.880,2.101,0.491;16.934,6.060,0.677;17.219,6.209,1.188;13.801,18.712,1.053;15.629,0.513,0.481;18.681,7.683,1.334;1.406,13.583,0.438;11.219,13.862,0.990"
41,drone_2,10.3129,7.7327,17.0000,17.0000,"16.759,2.004,1.244;13.939,12.661,1.294;3.575,7.130,1.299;10.143,15.337,0.317;16.824,2.679,0.765;1.123,0.958,0.473;19.607,2.952,0.318;0.656,18.938,0.838;1.707,6.453,0.439;0.249,17.937,0.293;5.577,17.319,0.393;6.288,0.668,0.273;9.180,0.809,0.285;15.903,12.247,1.726;1.277,2.791,0.446;14.484,6.710,0.457;18.727,3.440,0.791;19.232,15.734,0.373;11.478,14.535,0.201;16.407,1.318,1.100;16.630,4.309,0.492;17.559,11.293,0.339;8.032,16.433,0.425;19.776,3.366,0.363;11.776,2.909,0.310;15.336,3.064,1.970;5.144,7.889,0.300;11.609,13.675,0.443;1.686,6.481,1.261;13.539,15.061,0.861;4.768,5.563,0.451;10.002,15.302,0.467;13.509,7.881,1.869;10.609,18.217,0.439;7.191,11.942,0.787;6.786,16.005,0.264;5.789,13.176,1.360;6.503,15.102,0.471;2.594,9.156,0.496;18.836,3.946,1.221;16.470,9.739,0.214;18.808,10.788,2.082;18.692,2.022,0.350;16.016,5.387,0.244;18.317,14.195,0.258;5.588,1.183,0.258;0.953,7.011,0.964;18.166,14.973,0.231;0.490,5.336,0.317;16.806,8.423,0.782;13.054,12.403,0.496;0.765,5.166,1.169;17.289,4.153,2.471;18.711,2.475,2.092;2.084,0.422,0.708;14.439,1.078,1.194;12.940,15.856,1.184;17.381,9.014,0.641;5.552,14.851,0.441;18.915,13.283,0.293;18.131,1.066,1.173;15.753,10.740,0.646;13.961,4.443,1.793;15.656,10.022,1.154;12.035,18.816,0.206;11.994,1.962,0.780;0.749,2.327,0.394;1.310,14.514,0.500;12.781,19.238,0.203;16.971,8.324,1.376;14.374,14.858,0.456;0.880,2.101,0.491;16.934,6.060,0.677;17.219,6.209,1.188;13.801,18.712,1.053;15.629,0.513,0.481;18.681,7.683,1.334;1.406,13.583,0.438;11.219,13.862,0.990"
41,drone_3,11.6750,10.9504,17.0000,17.0000,"16.759,2.004,1.244;13.939,12.661,1.294;3.575,7.130,1.299;10.143,15.337,0.317;16.824,2.679,0.765;1.123,0.958,0.473;19.607,2.952,0.318;0.656,18.938,0.838;1.707,6.453,0.439;0.249,17.937,0.293;5.577,17.319,0.393;6.288,0.668,0.273;9.180,0.809,0.285;15.903,12.247,1.726;1.277,2.791,0.446;14.484,6.710,0.457;18.727,3.440,0.791;19.232,15.734,0.373;11.478,14.535,0.201;16.407,1.318,1.100;16.630,4.309,0.492;17.559,11.293,0.339;8.032,16.433,0.425;19.776,3.366,0.363;11.776,2.909,0.310;15.336,3.064,1.970;5.144,7.889,0.300;11.609,13.675,0.443;1.686,6.481,1.261;13.539,15.061,0.861;4.768,5.563,0.451;10.002,15.302,0.467;13.509,7.881,1.869;10.609,18.217,0.439;7.191,11.942,0.787;6.786,16.005,0.264;5.789,13.176,1.360;6.503,15.102,0.471;2.594,9.156,0.496;18.836,3.946,1.221;16.470,9.739,0.214;18.808,10.788,2.082;18.692,2.022,0.350;16.016,5.387,0.244;18.317,14.195,0.258;5.588,1.183,0.258;0.953,7.011,0.964;18.166,14.973,0.231;0.490,5.336,0.317;16.806,8.423,0.782;13.054,12.403,0.496;0.765,5.166,1.169;17.289,4.153,2.471;18.711,2.475,2.092;2.084,0.422,0.708;14.439,1.078,1.194;12.940,15.856,1.184;17.381,9.014,0.641;5.552,14.851,0.441;18.915,13.283,0.293;18.131,1.066,1.173;15.753,10.740,0.646;13.961,4.443,1.793;15.656,10.022,1.154;12.035,18.816,0.206;11.994,1.962,0.780;0.749,2.327,0.394;1.310,14.514,0.500;12.781,19.238,0.203;16.971,8.324,1.376;14.374,14.858,0.456;0.880,2.101,0.491;16.934,6.060,0.677;17.219,6.209,1.188;13.801,18.712,1.053;15.629,0.513,0.481;18.681,7.683,1.334;1.406,13.583,0.438;11.219,13.862,0.990"
41,drone_6,10.7187,19.4501,17.0000,17.0000,"16.759,2.004,1.244;13.939,12.661,1.294;3.575,7.130,1.299;10.143,15.337,0.317;16.824,2.679,0.765;1.123,0.958,0.473;19.607,2.952,0.318;0.656,18.938,0.838;1.707,6.453,0.439;0.249,17.937,0.293;5.577,17.319,0.393;6.288,0.668,0.273;9.180,0.809,0.285;15.903,12.247,1.726;1.277,2.791,0.446;14.484,6.710,0.457;18.727,3.440,0.791;19.232,15.734,0.373;11.478,14.535,0.201;16.407,1.318,1.100;16.630,4.309,0.492;17.559,11.293,0.339;8.032,16.433,0.425;19.776,3.366,0.363;11.776,2.909,0.310;15.336,3.064,1.970;5.144,7.889,0.300;11.609,13.675,0.443;1.686,6.481,1.261;13.539,15.061,0.861;4.768,5.563,0.451;10.002,15.302,0.467;13.509,7.881,1.869;10.609,18.217,0.439;7.191,11.942,0.787;6.786,16.005,0.264;5.789,13.176,1.360;6.503,15.102,0.471;2.594,9.156,0.496;18.836,3.946,1.221;16.470,9.739,0.214;18.808,10.788,2.082;18.692,2.022,0.350;16.016,5.387,0.244;18.317,14.195,0.258;5.588,1.183,0.258;0.953,7.011,0.964;18.166,14.973,0.231;0.490,5.336,0.317;16.806,8.423,0.782;13.054,12.403,0.496;0.765,5.166,1.169;17.289,4.153,2.471;18.711,2.475,2.092;2.084,0.422,0.708;14.439,1.078,1.194;12.940,15.856,1.184;17.381,9.014,0.641;5.552,14.851,0.441;18.915,13.283,0.293;18.131,1.066,1.173;15.753,10.740,0.646;13.961,4.443,1.793;15.656,10.022,1.154;12.035,18.816,0.206;11.994,1.962,0.780;0.749,2.327,0.394;1.310,14.514,0.500;12.781,19.238,0.203;16.971,8.324,1.376;14.374,14.858,0.456;0.880,2.101,0.491;16.934,6.060,0.677;17.219,6.209,1.188;13.801,18.712,1.053;15.629,0.513,0.481;18.681,7.683,1.334;1.406,13.583,0.438;11.219,13.862,0.990"
41,drone_8,9.9387,11.5084,17.0000,17.0000,"16.759,2.004,1.244;13.939,12.661,1.294;3.575,7.130,1.299;10.143,15.337,0.317;16.824,2.679,0.765;1.123,0.958,0.473;19.607,2.952,0.318;0.656,18.938,0.838;1.707,6.453,0.439;0.249,17.937,0.293;5.577,17.319,0.393;6.288,0.668,0.273;9.180,0.809,0.285;15.903,12.247,1.726;1.277,2.791,0.446;14.484,6.710,0.457;18.727,3.440,0.791;19.232,15.734,0.373;11.478,14.535,0.201;16.407,1.318,1.100;16.630,4.309,0.492;17.559,11.293,0.339;8.032,16.433,0.425;19.776,3.366,0.363;11.776,2.909,0.310;15.336,3.064,1.970;5.144,7.889,0.300;11.609,13.675,0.443;1.686,6.481,1.261;13.539,15.061,0.861;4.768,5.563,0.451;10.002,15.302,0.467;13.509,7.881,1.869;10.609,18.217,0.439;7.191,11.942,0.787;6.786,16.005,0.264;5.789,13.176,1.360;6.503,15.102,0.471;2.594,9.156,0.496;18.836,3.946,1.221;16.470,9.739,0.214;18.808,10.788,2.082;18.692,2.022,0.350;16.016,5.387,0.244;18.317,14.195,0.258;5.588,1.183,0.258;0.953,7.011,0.964;18.166,14.973,0.231;0.490,5.336,0.317;16.806,8.423,0.782;13.054,12.403,0.496;0.765,5.166,1.169;17.289,4.153,2.471;18.711,2.475,2.092;2.084,0.422,0.708;14.439,1.078,1.194;12.940,15.856,1.184;17.381,9.014,0.641;5.552,14.851,0.441;18.915,13.283,0.293;18.131,1.066,1.173;15.753,10.740,0.646;13.961,4.443,1.793;15.656,10.022,1.154;12.035,18.816,0.206;11.994,1.962,0.780;0.749,2.327,0.394;1.310,14.514,0.500;12.781,19.238,0.203;16.971,8.324,1.376;14.374,14.858,0.456;0.880,2.101,0.491;16.934,6.060,0.677;17.219,6.209,1.188;13.801,18.712,1.053;15.629,0.513,0.481;18.681,7.683,1.334;1.406,13.583,0.438;11.219,13.862,0.990"
42,drone_0,11.9938,11.8663,17.0000,17.0000,"16.759,2.004,1.244;13.939,12.661,1.294;3.575,7.130,1.299;10.143,15.337,0.317;16.824,2.679,0.765;1.123,0.958,0.473;19.607,2.952,0.318;0.656,18.938,0.838;1.707,6.453,0.439;0.249,17.937,0.293;5.577,17.319,0.393;6.288,0.668,0.273;9.180,0.809,0.285;15.903,12.247,1.726;1.277,2.791,0.446;14.484,6.710,0.457;18.727,3.440,0.791;19.232,15.734,0.373;11.478,14.535,0.201;16.407,1.318,1.100;16.630,4.309,0.492;17.559,11.293,0.339;8.032,16.433,0.425;19.776,3.366,0.363;11.776,2.909,0.310;15.336,3.064,1.970;5.144,7.889,0.300;11.609,13.675,0.443;1.686,6.481,1.261;13.539,15.061,0.861;4.768,5.563,0.451;10.002,15.302,0.467;13.509,7.881,1.869;10.609,18.217,0.439;7.191,11.942,0.787;6.786,16.005,0.264;5.789,13.176,1.360;6.503,15.102,0.471;2.594,9.156,0.496;18.836,3.946,1.221;16.470,9.739,0.214;18.808,10.788,2.082;18.692,2.022,0.350;16.016,5.387,0.244;18.317,14.195,0.258;5.588,1.183,0.258;0.953,7.011,0.964;18.166,14.973,0.231;0.490,5.336,0.317;16.806,8.423,0.782;13.054,12.403,0.496;0.765,5.166,1.169;17.289,4.153,2.471;18.711,2.475,2.092;2.084,0.422,0.708;14.439,1.078,1.194;12.940,15.856,1.184;17.381,9.014,0.641;5.552,14.851,0.441;18.915,13.283,0.293;18.131,1.066,1.173;15.753,10.740,0.646;13.961,4.443,1.793;15.656,10.022,1.154;12.035,18.816,0.206;11.994,1.962,0.780;0.749,2.327,0.394;1.310,14.514,0.500;12.781,19.238,0.203;16.971,8.324,1.376;14.374,14.858,0.456;0.880,2.101,0.491;16.934,6.060,0.677;17.219,6.209,1.188;13.801,18.712,1.053;15.629,0.513,0.481;18.681,7.683,1.334;1.406,13.583,0.438;11.219,13.862,0.990"
42,drone_2,10.2336,7.9163,17.0000,17.0000,"16.759,2.004,1.244;13.939,12.661,1.294;3.575,7.130,1.299;10.143,15.337,0.317;16.824,2.679,0.765;1.123,0.958,0.473;19.607,2.952,0.318;0.656,18.938,0.838;1.707,6.453,0.439;0.249,17.937,0.293;5.577,17.319,0.393;6.288,0.668,0.273;9.180,0.809,0.285;15.903,12.247,1.726;1.277,2.791,0.446;14.484,6.710,0.457;18.727,3.440,0.791;19.232,15.734,0.373;11.478,14.535,0.201;16.407,1.318,1.100;16.630,4.309,0.492;17.559,11.293,0.339;8.032,16.433,0.425;19.776,3.366,0.363;11.776,2.909,0.310;15.336,3.064,1.970;5.144,7.889,0.300;11.609,13.675,0.443;1.686,6.481,1.261;13.539,15.061,0.861;4.768,5.563,0.451;10.002,15.302,0.467;13.509,7.881,1.869;10.609,18.217,0.439;7.191,11.942,0.787;6.786,16.005,0.264;5.789,13.176,1.360;6.503,15.102,0.471;2.594,9.156,0.496;18.836,3.946,1.221;16.470,9.739,0.214;18.808,10.788,2.082;18.692,2.022,0.350;16.016,5.387,0.244;18.317,14.195,0.258;5.588,1.183,0.258;0.953,7.011,0.964;18.166,14.973,0.231;0.490,5.336,0.317;16.806,8.423,0.782;13.054,12.403,0.496;0.765,5.166,1.169;17.289,4.153,2.471;18.711,2.475,2.092;2.084,0.422,0.708;14.439,1.078,1.194;12.940,15.856,1.184;17.381,9.014,0.641;5.552,14.851,0.441;18.915,13.283,0.293;18.131,1.066,1.173;15.753,10.740,0.646;13.961,4.443,1.793;15.656,10.022,1.154;12.035,18.816,0.206;11.994,1.962,0.780;0.749,2.327,0.394;1.310,14.514,0.500;12.781,19.238,0.203;16.971,8.324,1.376;14.374,14.858,0.456;0.880,2.101,0.491;16.934,6.060,0.677;17.219,6.209,1.188;13.801,18.712,1.053;15.629,0.513,0.481;18.681,7.683,1.334;1.406,13.583,0.438;11.219,13.862,0.990"
42,drone_3,11.6850,11.1502,17.0000,17.0000,"16.759,2.004,1.244;13.939,12.661,1.294;3.575,7.130,1.299;10.143,15.337,0.317;16.824,2.679,0.765;1.123,0.958,0.473;19.607,2.952,0.318;0.656,18.938,0.838;1.707,6.453,0.439;0.249,17.937,0.293;5.577,17.319,0.393;6.288,0.668,0.273;9.180,0.809,0.285;15.903,12.247,1.726;1.277,2.791,0.446;14.484,6.710,0.457;18.727,3.440,0.791;19.232,15.734,0.373;11.478,14.535,0.201;16.407,1.318,1.100;16.630,4.309,0.492;17.559,11.293,0.339;8.032,16.433,0.425;19.776,3.366,0.363;11.776,2.909,0.310;15.336,3.064,1.970;5.144,7.889,0.300;11.609,13.675,0.443;1.686,6.481,1.261;13.539,15.061,0.861;4.768,5.563,0.451;10.002,15.302,0.467;13.509,7.881,1.869;10.609,18.217,0.439;7.191,11.942,0.787;6.786,16.005,0.264;5.789,13.176,1.360;6.503,15.102,0.471;2.594,9.156,0.496;18.836,3.946,1.221;16.470,9.739,0.214;18.808,10.788,2.082;18.692,2.022,0.350;16.016,5.387,0.244;18.317,14.195,0.258;5.588,1.183,0.258;0.953,7.011,0.964;18.166,14.973,0.231;0.490,5.336,0.317;16.806,8.423,0.782;13.054,12.403,0.496;0.765,5.166,1.169;17.289,4.153,2.471;18.711,2.475,2.092;2.084,0.422,0.708;14.439,1.078,1.194;12.940,15.856,1.184;17.381,9.014,0.641;5.552,14.851,0.441;18.915,13.283,0.293;18.131,1.066,1.173;15.753,10.740,0.646;13.961,4.443,1.793;15.656,10.022,1.154;12.035,18.816,0.206;11.994,1.962,0.780;0.749,2.327,0.394;1.310,14.514,0.500;12.781,19.238,0.203;16.971,8.324,1.376;14.374,14.858,0.456;0.880,2.101,0.491;16.934,6.060,0.677;17.219,6.209,1.188;13.801,18.712,1.053;15.629,0.513,0.481;18.681,7.683,1.334;1.406,13.583,0.438;11.219,13.862,0.990"
42,drone_6,10.9052,19.5225,17.0000,17.0000,"16.759,2.004,1.244;13.939,12.661,1.294;3.575,7.130,1.299;10.143,15.337,0.317;16.824,2.679,0.765;1.123,0.958,0.473;19.607,2.952,0.318;0.656,18.938,0.838;1.707,6.453,0.439;0.249,17.937,0.293;5.577,17.319,0.393;6.288,0.668,0.273;9.180,0.809,0.285;15.903,12.247,1.726;1.277,2.791,0.446;14.484,6.710,0.457;18.727,3.440,0.791;19.232,15.734,0.373;11.478,14.535,0.201;16.407,1.318,1.100;16.630,4.309,0.492;17.559,11.293,0.339;8.032,16.433,0.425;19.776,3.366,0.363;11.776,2.909,0.310;15.336,3.064,1.970;5.144,7.889,0.300;11.609,13.675,0.443;1.686,6.481,1.261;13.539,15.061,0.861;4.768,5.563,0.451;10.002,15.302,0.467;13.509,7.881,1.869;10.609,18.217,0.439;7.191,11.942,0.787;6.786,16.005,0.264;5.789,13.176,1.360;6.503,15.102,0.471;2.594,9.156,0.496;18.836,3.946,1.221;16.470,9.739,0.214;18.808,10.788,2.082;18.692,2.022,0.350;16.016,5.387,0.244;18.317,14.195,0.258;5.588,1.183,0.258;0.953,7.011,0.964;18.166,14.973,0.231;0.490,5.336,0.317;16.806,8.423,0.782;13.054,12.403,0.496;0.765,5.166,1.169;17.289,4.153,2.471;18.711,2.475,2.092;2.084,0.422,0.708;14.439,1.078,1.194;12.940,15.856,1.184;17.381,9.014,0.641;5.552,14.851,0.441;18.915,13.283,0.293;18.131,1.066,1.173;15.753,10.740,0.646;13.961,4.443,1.793;15.656,10.022,1.154;12.035,18.816,0.206;11.994,1.962,0.780;0.749,2.327,0.394;1.310,14.514,0.500;12.781,19.238,0.203;16.971,8.324,1.376;14.374,14.858,0.456;0.880,2.101,0.491;16.934,6.060,0.677;17.219,6.209,1.188;13.801,18.712,1.053;15.629,0.513,0.481;18.681,7.683,1.334;1.406,13.583,0.438;11.219,13.862,0.990"
42,drone_8,10.1273,11.5053,17.0000,17.0000,"16.759,2.004,1.244;13.939,12.661,1.294;3.575,7.130,1.299;10.143,15.337,0.317;16.824,2.679,0.765;1.123,0.958,0.473;19.607,2.952,0.318;0.656,18.938,0.838;1.707,6.453,0.439;0.249,17.937,0.293;5.577,17.319,0.393;6.288,0.668,0.273;9.180,0.809,0.285;15.903,12.247,1.726;1.277,2.791,0.446;14.484,6.710,0.457;18.727,3.440,0.791;19.232,15.734,0.373;11.478,14.535,0.201;16.407,1.318,1.100;16.630,4.309,0.492;17.559,11.293,0.339;8.032,16.433,0.425;19.776,3.366,0.363;11.776,2.909,0.310;15.336,3.064,1.970;5.144,7.889,0.300;11.609,13.675,0.443;1.686,6.481,1.261;13.539,15.061,0.861;4.768,5.563,0.451;10.002,15.302,0.467;13.509,7.881,1.869;10.609,18.217,0.439;7.191,11.942,0.787;6.786,16.005,0.264;5.789,13.176,1.360;6.503,15.102,0.471;2.594,9.156,0.496;18.836,3.946,1.221;16.470,9.739,0.214;18.808,10.788,2.082;18.692,2.022,0.350;16.016,5.387,0.244;18.317,14.195,0.258;5.588,1.183,0.258;0.953,7.011,0.964;18.166,14.973,0.231;0.490,5.336,0.317;16.806,8.423,0.782;13.054,12.403,0.496;0.765,5.166,1.169;17.289,4.153,2.471;18.711,2.475,2.092;2.084,0.422,0.708;14.439,1.078,1.194;12.940,15.856,1.184;17.381,9.014,0.641;5.552,14.851,0.441;18.915,13.283,0.293;18.131,1.066,1.173;15.753,10.740,0.646;13.961,4.443,1.793;15.656,10.022,1.154;12.035,18.816,0.206;11.994,1.962,0.780;0.749,2.327,0.394;1.310,14.514,0.500;12.781,19.238,0.203;16.971,8.324,1.376;14.374,14.858,0.456;0.880,2.101,0.491;16.934,6.060,0.677;17.219,6.209,1.188;13.801,18.712,1.053;15.629,0.513,0.481;18.681,7.683,1.334;1.406,13.583,0.438;11.219,13.862,0.990"
43,drone_0,12.1335,12.0094,17.0000,17.0000,"16.759,2.004,1.244;13.939,12.661,1.294;3.575,7.130,1.299;10.143,15.337,0.317;16.824,2.679,0.765;1.123,0.958,0.473;19.607,2.952,0.318;0.656,18.938,0.838;1.707,6.453,0.439;0.249,17.937,0.293;5.577,17.319,0.393;6.288,0.668,0.273;9.180,0.809,0.285;15.903,12.247,1.726;1.277,2.791,0.446;14.484,6.710,0.457;18.727,3.440,0.791;19.232,15.734,0.373;11.478,14.535,0.201;16.407,1.318,1.100;16.630,4.309,0.492;17.559,11.293,0.339;8.032,16.433,0.425;19.776,3.366,0.363;11.776,2.909,0.310;15.336,3.064,1.970;5.144,7.889,0.300;11.609,13.675,0.443;1.686,6.481,1.261;13.539,15.061,0.861;4.768,5.563,0.451;10.002,15.302,0.467;13.509,7.881,1.869;10.609,18.217,0.439;7.191,11.942,0.787;6.786,16.005,0.264;5.789,13.176,1.360;6.503,15.102,0.471;2.594,9.156,0.496;18.836,3.946,1.221;16.470,9.739,0.214;18.808,10.788,2.082;18.692,2.022,0.350;16.016,5.387,0.244;18.317,14.195,0.258;5.588,1.183,0.258;0.953,7.011,0.964;18.166,14.973,0.231;0.490,5.336,0.317;16.806,8.423,0.782;13.054,12.403,0.496;0.765,5.166,1.169;17.289,4.153,2.471;18.711,2.475,2.092;2.084,0.422,0.708;14.439,1.078,1.194;12.940,15.856,1.184;17.381,9.014,0.641;5.552,14.851,0.441;18.915,13.283,0.293;18.131,1.066,1.173;15.753,10.740,0.646;13.961,4.443,1.793;15.656,10.022,1.154;12.035,18.816,0.206;11.994,1.962,0.780;0.749,2.327,0.394;1.310,14.514,0.500;12.781,19.238,0.203;16.971,8.324,1.376;14.374,14.858,0.456;0.880,2.101,0.491;16.934,6.060,0.677;17.219,6.209,1.188;13.801,18.712,1.053;15.629,0.513,0.481;18.681,7.683,1.334;1.406,13.583,0.438;11.219,13.862,0.990"
43,drone_2,10.1456,8.0959,17.0000,17.0000,"16.759,2.004,1.244;13.939,12.661,1.294;3.575,7.130,1.299;10.143,15.337,0.317;16.824,2.679,0.765;1.123,0.958,0.473;19.607,2.952,0.318;0.656,18.938,0.838;1.707,6.453,0.439;0.249,17.937,0.293;5.577,17.319,0.393;6.288,0.668,0.273;9.180,0.809,0.285;15.903,12.247,1.726;1.277,2.791,0.446;14.484,6.710,0.457;18.727,3.440,0.791;19.232,15.734,0.373;11.478,14.535,0.201;16.407,1.318,1.100;16.630,4.309,0.492;17.559,11.293,0.339;8.032,16.433,0.425;19.776,3.366,0.363;11.776,2.909,0.310;15.336,3.064,1.970;5.144,7.889,0.300;11.609,13.675,0.443;1.686,6.481,1.261;13.539,15.061,0.861;4.768,5.563,0.451;10.002,15.302,0.467;13.509,7.881,1.869;10.609,18.217,0.439;7.191,11.942,0.787;6.786,16.005,0.264;5.789,13.176,1.360;6.503,15.102,0.471;2.594,9.156,0.496;18.836,3.946,1.221;16.470,9.739,0.214;18.808,10.788,2.082;18.692,2.022,0.350;16.016,5.387,0.244;18.317,14.195,0.258;5.588,1.183,0.258;0.953,7.011,0.964;18.166,14.973,0.231;0.490,5.336,0.317;16.806,8.423,0.782;13.054,12.403,0.496;0.765,5.166,1.169;17.289,4.153,2.471;18.711,2.475,2.092;2.084,0.422,0.708;14.439,1.078,1.194;12.940,15.856,1.184;17.381,9.014,0.641;5.552,14.851,0.441;18.915,13.283,0.293;18.131,1.066,1.173;15.753,10.740,0.646;13.961,4.443,1.793;15.656,10.022,1.154;12.035,18.816,0.206;11.994,1.962,0.780;0.749,2.327,0.394;1.310,14.514,0.500;12.781,19.238,0.203;16.971,8.324,1.376;14.374,14.858,0.456;0.880,2.101,0.491;16.934,6.060,0.677;17.219,6.209,1.188;13.801,18.712,1.053;15.629,0.513,0.481;18.681,7.683,1.334;1.406,13.583,0.438;11.219,13.862,0.990"
43,drone_3,11.7197,11.3471,17.0000,17.0000,"16.759,2.004,1.244;13.939,12.661,1.294;3.575,7.130,1.299;10.143,15.337,0.317;16.824,2.679,0.765;1.123,0.958,0.473;19.607,2.952,0.318;0.656,18.938,0.838;1.707,6.453,0.439;0.249,17.937,0.293;5.577,17.319,0.393;6.288,0.668,0.273;9.180,0.809,0.285;15.903,12.247,1.726;1.277,2.791,0.446;14.484,6.710,0.457;18.727,3.440,0.791;19.232,15.734,0.373;11.478,14.535,0.201;16.407,1.318,1.100;16.630,4.309,0.492;17.559,11.293,0.339;8.032,16.433,0.425;19.776,3.366,0.363;11.776,2.909,0.310;15.336,3.064,1.970;5.144,7.889,0.300;11.609,13.675,0.443;1.686,6.481,1.261;13.539,15.061,0.861;4.768,5.563,0.451;10.002,15.302,0.467;13.509,7.881,1.869;10.609,18.217,0.439;7.191,11.942,0.787;6.786,16.005,0.264;5.789,13.176,1.360;6.503,15.102,0.471;2.594,9.156,0.496;18.836,3.946,1.221;16.470,9.739,0.214;18.808,10.788,2.082;18.692,2.022,0.350;16.016,5.387,0.244;18.317,14.195,0.258;5.588,1.183,0.258;0.953,7.011,0.964;18.166,14.973,0.231;0.490,5.336,0.317;16.806,8.423,0.782;13.054,12.403,0.496;0.765,5.166,1.169;17.289,4.153,2.471;18.711,2.475,2.092;2.084,0.422,0.708;14.439,1.078,1.194;12.940,15.856,1.184;17.381,9.014,0.641;5.552,14.851,0.441;18.915,13.283,0.293;18.131,1.066,1.173;15.753,10.740,0.646;13.961,4.443,1.793;15.656,10.022,1.154;12.035,18.816,0.206;11.994,1.962,0.780;0.749,2.327,0.394;1.310,14.514,0.500;12.781,19.238,0.203;16.971,8.324,1.376;14.374,14.858,0.456;0.880,2.101,0.491;16.934,6.060,0.677;17.219,6.209,1.188;13.801,18.712,1.053;15.629,0.513,0.481;18.681,7.683,1.334;1.406,13.583,0.438;11.219,13.862,0.990"
43,drone_6,11.0840,19.6120,17.0000,17.0000,"16.759,2.004,1.244;13.939,12.661,1.294;3.575,7.130,1.299;10.143,15.337,0.317;16.824,2.679,0.765;1.123,0.958,0.473;19.607,2.952,0.318;0.656,18.938,0.838;1.707,6.453,0.439;0.249,17.937,0.293;5.577,17.319,0.393;6.288,0.668,0.273;9.180,0.809,0.285;15.903,12.247,1.726;1.277,2.791,0.446;14.484,6.710,0.457;18.727,3.440,0.791;19.232,15.734,0.373;11.478,14.535,0.201;16.407,1.318,1.100;16.630,4.309,0.492;17.559,11.293,0.339;8.032,16.433,0.425;19.776,3.366,0.363;11.776,2.909,0.310;15.336,3.064,1.970;5.144,7.889,0.300;11.609,13.675,0.443;1.686,6.481,1.261;13.539,15.061,0.861;4.768,5.563,0.451;10.002,15.302,0.467;13.509,7.881,1.869;10.609,18.217,0.439;7.191,11.942,0.787;6.786,16.005,0.264;5.789,13.176,1.360;6.503,15.102,0.471;2.594,9.156,0.496;18.836,3.946,1.221;16.470,9.739,0.214;18.808,10.788,2.082;18.692,2.022,0.350;16.016,5.387,0.244;18.317,14.195,0.258;5.588,1.183,0.258;0.953,7.011,0.964;18.166,14.973,0.231;0.490,5.336,0.317;16.806,8.423,0.782;13.054,12.403,0.496;0.765,5.166,1.169;17.289,4.153,2.471;18.711,2.475,2.092;2.084,0.422,0.708;14.439,1.078,1.194;12.940,15.856,1.184;17.381,9.014,0.641;5.552,14.851,0.441;18.915,13.283,0.293;18.131,1.066,1.173;15.753,10.740,0.646;13.961,4.443,1.793;15.656,10.022,1.154;12.035,18.816,0.206;11.994,1.962,0.780;0.749,2.327,0.394;1.310,14.514,0.500;12.781,19.238,0.203;16.971,8.324,1.376;14.374,14.858,0.456;0.880,2.101,0.491;16.934,6.060,0.677;17.219,6.209,1.188;13.801,18.712,1.053;15.629,0.513,0.481;18.681,7.683,1.334;1.406,13.583,0.438;11.219,13.862,0.990"
